id;kode_provinsi;nama_provinsi;hari_tanggal;waktu;lokasi;organisasi;tuntutan;pemecahan_masalah;instan_terkait;keterangan
20;15;JAMBI;SENIN 20 MEI 2024;"JAM 10.00
S/D SELESAI";RUMAH   DINAS GUBERNUR JAMBI;"ALIANSI       MAHASISWA
JAMBI            BERGERAK DENGAN    MASA    ±100 ORANG";"- MENUNTUT PROGRAM GUBERNUR JAMBI
- USUT  TUNTAS  PROYEK  MULTIYEAR  ISLAMIC CENTER, STADION, RTH
- PANGGIL  DAN  PERIKSA  KEPSEK  SMA  4 DISDIK PROV JAMBI
- MENGENCAM          GUBERNUR         JAMBI MENYELESAIKAN JALUR";-;-;TERLAYANI
21;15;JAMBI;RABU 22 MEI 2024;"JAM 09.00
S/D SELESAI";KANTOR GUBERNUR JAMBI;MAHASISWA        JAMBI MENGGUGAT      DENGAN MASA ±100 ORANG;"-    MENUNTUT    TRANSPARASI    RTH    PUTRI PINANG MASAK
-    MENGGUGAT     KEMANGRAKAN     ISLAMC CENTER
-    MENUNTUT TRANSPARANSI SPORT CENTER
-    MENAGIH     JANJI     GUBERNUR     TERKAIT PENYELESAIAN KASUS NENEK HAFSAH
- MENUNTUT        PENYELESAIAN        KONFLIK AGRARIAN YANG ADA DIJAMBI";-;-;TERLAYANI
22;15;JAMBI;SENIN 27 MEI 2024;"JAM 10.00
S/D SELESAI";KANTOR GUBERNUR JAMBI,RUMAH DINAS GUBERNUR JAMBI        DAN KANTOR   DPRD PROVINSI JAMBI;"ALIANSI       MAHASISWA
JAMBI        MENGGUGAT DENGAN    MASA    ±170 ORANG";"-   MENUNTUT        PROGRAM        GUBERNUR PROVINSI JAMBI
-   USUT     TUNTAS     PROYEK     MULTIYEARS ISLAMIC CENTER, STADION, RTH
-   MENGEMCAM       GUBERNUR       JAMBI MENYELESAIKAN JALUR KHUSU BATU BATU BARA YANG MENGKRAK DARI TAHUN 2021
-    MENUNTUT          GUBERNUR          JAMBI TRANSPARANSI PENERIMAAN PPPK";-;"DITERIMA OLEH : - SUDIRMAN KEPALA KESBANGPOL,ARIF
MUNANDAR JOHANSYAH";"TERLAYANI
AMAN DAN TERKENDALI"
23;15;JAMBI;SENIN 28 MEI 2024;"JAM 10.00
S/D SELESAI";"RUMAH   DINAS GUBERNUR JAMBI        DAN DPRD
PROVINSI JAMBI";ALIANSI   KAWAL   UANG NEGARA     (AKUN)    DI RUMAH               DINAS GUBERNUR JAMBI;"-    (AKUN)         MENYIKAPI         ADANYA PENYIMPANGAN      ANGGARAN      PADA PELAKSANAAN    PEKERJAAN    DILINGKUP DINAS PUPR PROVINSIU JAMBI
-    (LSM    ANTI    KORUPSI    )    MENYIKAPI TENTANG    PERMASALAHAN    PUNGLI    DI SEKOLAH-SEKOLAH PROVINSI JAMBI";-;-;TERLAYANI
24;15;JAMBI;RABU22 MEI 2024;"JAM 09.00
S/D SELESAI";KANTOR GUBERNUR JAMBI;MAHASISWA        JAMBI MENGGUGAT      DENGAN MASA ±100 ORANG;"-    MENUNTUT    TRANSPARASI    RTH    PUTRI PINANG MASAK
-    MENGGUGAT     KEMANGRAKAN     ISLAMC CENTER
-    MENUNTUT TRANSPARANSI SPORT CENTER
-    MENAGIH     JANJI     GUBERNUR     TERKAIT PENYELESAIAN KASUS NENEK HAFSAH
-    MENUNTUT       PENYELESAIAN      KONFLIK AGRARIAN YANG ADA DIJAMBI";-;-;TERLAYANI
25;15;JAMBI;SELASA 29 MEI 2024;"JAM 10.00
S/D SELESAI";KANTOR GUBERNUR JAMBI         DAN RUMAH   DINAS GUBERNUR JAMBI;"SOLIDARITAS        WISATA
BAKTI              NASIONAL INDONESIA    (    SNWI) TENAGA    ADMINISTRASI SEKOLAH          PROVINSI JAMBI   DENGAN   MASA
±60 ORANG";"-    MEMINTA POENAMBAHAN KUOTA PPPK UNTUK    JAMBI    TAHUN    2024    DAN MENGUTAMAKAN  TAMATAN  SD,   SMP
S.D  SI  BIAR  SEMUA  MENJADI  PPPK TAHUN 2024
-";-;"DITERIMA OLEH : - KUMU QAMARUZ ZAMAN
BIDANG PENANGANAN KONFLIK KESBANGPOL";TERLAYANI
26;15;JAMBI;SENIN 31 MEI 2024;"JAM 10.00
S/D SELESAI";KANTOR GUBERNUR JAMBI;"ALIANSI       MAHASISWA
JAMBI        MENGGUGAT DENGAN     MASA     ±80 ORANG";-    KEMANGKRAKAN  KEJELASAN  MENGENAI PERMASALAHAN   NENEK   HAFSAH   DAN KONFLIK AGRARIA;-;DITERIMA OLEH : - KEPOLISIAN, TNI, SATPOL PP PROVINSI JAMBI;"TERLAYANI
AMAN DAN TERKENDALI"
27;15;JAMBI;SENIN 3 JUNI 2024;"JAM 11.45
S/D SELESAI";KANTOR GUBERNUR JAMBI;"ALIANSI       MASYARAKAT PEDULI        PENDIDIKAN JAMBI   DENGAN   MASA
±25 ORANG";-    NON         AKTIFKAN         KEPSEK BERMASALAH MELINDUNGI OKNUM KEPSEK;-;DITERIMA OLEH : - ARIF MUNANDAR ASISTEN GUBERNUR JAMBI;"TERLAYANI
AMAN DAN TERKENDALI"
28;15;JAMBI;RABU 5 JUNI 2024;"JAM
10. 00
S/D SELESAI";KANTOR GUBERNUR JAMBI;"ALIANSI       MAHASISWA
JAMBI        MENGGUGAT DENGAN     MASA     ±45 ORANG";-    RTH,   NENEK    HAFSAH,   BATU BARA   DAN   AGRARIA   MASALAH YANG TAK TERSELESAIKAN;-;DITERIMA OLEH : - KEPOLISIAN, TNI, SATPOL PP PROVINSI JAMBI;TERLAYANI
29;15;JAMBI;KAMIS 6 JUNI 2024;"JAM
10. 00
S/D SELESAI";KANTOR GUBERNUR JAMBI;ALIANSI       MASYARAKAT PEDULI        PENDIDIKAN JAMBI;;-;DITERIMA OLEH : - ASISTEN I BAPAK ARIF MUNANADAR;TERLAYANI
30;15;JAMBI;KAMI 7 JUNI 2024;-;KANTOR GUBERNUR JAMBI;BADAN          PENGURUS WILAYAH  LINGKAR STUDI MAHASISWA MARHAENIS (LSMM)          PROVINSI JAMBI;"-     COPOT     DREKTUR     (RSUD) RADEN      MATTAHER      PROVINSI JAMBI
-BAYAR   SEGERA   INSENTIF   JASA PELAYANAN       YANG       SUDAH MENUNGGAK SELAMA 5 BULAN
-  WUJUDKAN  AKUNTABILITAS  DAN TRANSPARANSI          PENGELOLAAN ANGGARAN      (BLUD)      RSUD
MATTAHER PROVINSI JAMBI";-;DITERIMA OLEH : - ASISTEN I BAPAK ARIF MUNANADAR;"TERLAYANI
AMAN DAN TERKENDALI"
31;15;JAMBI;SENIN 10 JUNI 2024;-;KANTOR GUBERNUR JAMBI;-;-;-;DITERIMA OLEH : -;"TERLAYANI
AMAN DAN TERKENDALI"
32;15;JAMBI;RABU 12 JUNI 2024;"JAM
10. 00
S/D SELESAI";"KANTOR GUBERNUR JAMBI         DAN DPRD
PROVINSI JAMBI";HIMPUNAN  MAHASISWA ISLAM   JAMBI   DENGAN MASA ±60 ORANG;"MENYIKAPI    ADANYA    WACANA KAWALKAN         UKT         (UANG SEMESTER)       DAN       WACANA PEMOTONGAN     DANA     TAPERA SERTA  HENTIKAN  KRIMININALISASI
TERHADAP MAHASISWA";-;DITERIMA OLEH : - KEPOLISIAN, TNI, SATPOL PP PROVINSI JAMBI;TERLAYANI
33;15;JAMBI;SENIN 1 JULI 2024;"JAM 11.00
S/D SELESAI";"KANTOR GUBERNUR JAMBI,  RUMAH DINAS GUBERNUR JAMBI        DAN DPRD
PROVINSI JAMBI";MAHASISWA JAMBI MENGGUGAT DENGAN MASA ±42 ORANG;"-    TRANPARANSI       RTH,      ISLAM REMIK  CENTRE,   SPORT   CENTRE DAN,
-    MENCABUT        PAKET        BUKU PANDUAN GURU
-    MENCABUT    KEGUNAAN    DANA BOS SELURUH INDONESIA
-    MENCABUT   WACANA   KURIKULUM NASIONAL
-    MENGENAI  SISWA  BARU  PDDB MENOLAK    SERAGAM    SEKOLAH DARI    TU    –    SMA    YANG    DI PROGRAMKAN
-    EVALUASI       KENERJA       KADIS PENDIDIKAN";-;DITERIMA OLEH : - BAPAK SUDIRMAN MUNAWAN;"TERLAYANI
AMAN DAN TERKENDALI"
34;15;JAMBI;SELASA 2 JULI 2024;"JAM
10. 00
S/D SELESAI";KANTOR GUBERNUR JAMBI        DAN RUMAH   DINAS GUBERNUR JAMBI;KOALISI       MASYARAKAT KOTA     (KOMAT)     DI KANTOR          GUBERNUR JAMBI    DAN    RUMAH DINAS           GUBERNUR JAMBI.;-    DUGAAN             PENYIMPANGAN ANGGARAN  PADA  PEKERJAAN  JL. SIMPANG   SANWIL   KAB.   TEBO TH ANGGARAN 2023;-;-;TERLAYANI
35;15;JAMBI;SENIN 8 JULI 2024;"JAM
10. 00
S/D SELESAI";"KANTOR GUBERNUR JAMBI, RUMAH DINAS GUBERNUR JAMBI        DAN DPRD
PROVINSI JAMBI.";ALIANSI   KAWAL   UANG NEGARA             (KOMAT JAMBI);-             MENYIKAPI             DUGAAN PENYIMPANGAN    ANGGARAN    PADA KEGIATAN  PROYEK  SIMPANG  SAUMIL- SIMPANG    LONGPON    OLEH    PUPR PROVINSI JAMBI;-;-;TERLAYANI
36;15;JAMBI;RABU 10 JULI 2024;"JAM 09.00
S/D SELESAI";KANTOR GUBERNUR JAMBI,;"EKSEKUTIF        WILAYAH LIGA           MAHASISWA NASIONAL            UNTUK DEMOKRASI (LMND) DI KANTOR          GUBERNUR JAMBI
DENGAN     MASA     ±30 ORANG";LAKSANAKAN   PEMERINTAHAN   YANG BERSIH DARI KORUPSI;-;-;"TERLAYANI
AMAN DAN TERKENDALI"
37;15;JAMBI;KAMIS 11 JULI 2024;"JAM
10. 00
S/D SELESAI";KANTOR GUBERNUR JAMBI;FORUM         PEMANTAU ANGGARAN PEMBANGUNAN JAMBI.;"-    MEMINTAK     KETERANGAN     KEPALA BPKRI  JAMBI  TENTANG  BEBERAPA PROYEK
-    MEMINTAK KETERANGAN KEPALA BIRO KESEJAHTERAAN     PROVINSI     JAMBI YANG       JELAS       SESUAI       FAKTA DILAPANGAN
-    MEMINTAK    KAPOLDA    MEMANGGIL KA. BIRO KESEJAHTERAAN RAKYAT";-;DITERIMA OLEH : - ASISTEN ARIF MUNANDAR, KARO KESRA;TERLAYANI
38;15;JAMBI;KAMIS 22 JULI 2024;"JAM
10. 00
S/D SELESAI";"KANTOR GUBERNUR JAMBI,       DAN DPRD
PROVINSI JAMBI.";FORUM       MASYARAKAT MAHASISWA            DAN PEMUDA         FORMMAS MUDA  SUNGAI  BUNGUR. DENGAN    MASA    ±500 ORANG;"-  MEMINTA  KEPADA  KETUA  DPRD  DAN GUBERNUR   JAMBI,   KANWILL   ATR/BPN PROVINSI   JAMBI,   KAB   MUARO   JAMBI DIMANA   KEBRADAAN   LAHAN   TERSEBUT DILUAR    HGU    PT.    PHL    DAN    DAN PEMBIBITAN , KUD USAHA BERKAHKUD MEKAR JAYA
-    MEMINTA    ASISTEN    1    MEWAKILI GUBERNUR  JAMBI,  KANWILL  ATR/  BPN KESBANGPOL    PROVINSI    JAMBI    SERTA TINDU   PROVINSI   JAMBI   SERTA   KAB. MUARO    JAMBI    SEGERA    MELAKUAKN IDENTIFIKASI  LANJUTAN  TERHADADAP  SISA
LAHAN TERSEBUT.";-;DITERIMA OLEH : - KEPOLISIAN RI DAN SATPOL PP PROVINSI JAMBI;TERLAYANI
39;15;JAMBI;KAMIS 25 JULI 2024;"JAM 10.00
S/D SELESAI";"KANTOR GUBERNUR JAMBI         DAN DPRD
PROVINSI JAMBI";"JARINGAN   DAN   ALIANSI GERAKAN             UNTUK
ASPIRASI              RAKYAT
DIKANTOR        GUBERNUR JAMBI   DENGAN   MASA
±30
ORANG     DAN     ALIANSI MASYAKATA          UNTUK
KEADILAN           MUSLIM
DIKANTOR             DPRD PROVINSI JAMBI
DENGAN      MASA      ±6 ORANG";"-  KANTOR  GUBERNUR  JAMBIDIREKTUR UTAMA  RSUD   TIDAK   PROPESIOANL MERANGKAP 2 JABATAN DI UNJA DAN PEMPROV  JAMBI  YAITU:  COPOT  DAN PECAT     DIKARNAKAN     BANYAKNYA LAPORAN    MASYARAKAT    MENGENAI PELAYANANNYA.
-   DPRD   PROVINSI   JAMBI   MEMINTA DPRD   PROVINSI   JAMBI   MENGAWASI PEJABAT   YANG   NAKAL   YAITU   PERIKSA SEBELUMNYA DIPANGGIL";-;-;"TERLAYANI
AMAN DAN TERKENDALI"
40;15;JAMBI;KAMIS 31 JULI 2024;"JAM 10.30
S/D SELESAI";KANTOR GUBERNUR JAMBI;"ALIANSI       MASYARAKAT UNTUK              KEADILAN
DENGAN     MASA     ±10 ORANG";USUT      TUNTAS      DUGAAN      KORUPSI PEMBANGUNAN     GEDUNG     OLAHRAGA MERANGIN;-;DITERIMA OLEH : - ASISTEN BAPAK ARIF MUNANDAR;"TERLAYANI
AMAN DAN TERKENDALI"
41;15;JAMBI;KAMIS 22  AGUSTUS 2024;"JAM 09.00
S/D SELESAI";KANTOR GUBERNUR JAMBI;"DEWAN          PIMPINAN WILAYAH  TEKAD  JAMBI DI    KANTO    GUBERNUR JAMBI   DENGAN   MASA
±1000 ORANG";MEMINTA  BAPAK  GUBERNUR  JAMBI MEMPASILITASI          PERMASALAHAN APLIKATOR  GRAB  DENGAN  MITRANYA OJOL;"AKAN DISAMPAIAKAN KEPADA GUBERNUR JAMBI DAN AKAN DITERUSKAN KE KEMENTERIAN PERHUBUNGAN/YAN
G BERWENANG";DITERIMA OLEH : - ASISTEN (BAPAK ARIF MUNANDAR), DESNAKER DAN KADIS KESBANGPOL;"TERLAYANI
AMAN DAN TERKENDALI"
42;15;JAMBI;JUM’AT 23  AGUSTUS 2024;"JAM
10. 00
S/D SELESAI";"KANTOR GUBERNUR JAMBI        DAN DPRD
PROVINSI JAMBI";"KAMMI  JAMBI,  GMNI,
KAMI            KESATUAN MAHASISWA  INDONESIA MAHASISWA           UNJA JAMBI   DENGAN   MASA
±1000 ORANG";MEMINTA      TOLAK      DINASTI      DI INDONESIA,     MENUNTUT     ANGGOTA DEWAN    MENEMUI    DEMONSTRAN, MASUK  KEDALAM  GEDUNG  DPRD DAN  MENDUDUKI   GEDUNG  DPRD PROVINSI JAMBI;-;-;TERLAYANI
43;15;JAMBI;SENIN 26  AGUSTUS 2024;"JAM
10. 00
S/D SELESAI";"KANTOR GUBERNUR JAMBI        DAN DPRD
PROVINSI JAMBI.";"ALIANSI       MAHASISWA JAMBI   DENGAN   MASA
±300 ORANG";-   KAWAL   UU   PILKADA   MENOLAK PERUBAHAN UU PILKADA REVOLUSI;-;-;TERLAYANI
44;15;JAMBI;KAMIS 29  AGUSTUS 2024;"JAM
10. 00
S/D SELESAI";KANTOR GUBERNUR JAMBI;ALIANSI    KOALISI    OJOL NASIONAL          DENGAN MASA ±1.000 ORANG;"-  MEMINTA  PERAN  SERTA  PEMERINTAH PROVINSI    JAMBI    UNTUK    IKUT    ANDIL MONITORING  OPERASIONAL  TRANSPORTASI ONLINE DI WILAYAH PROVINSI JAMBI
-    MEMINTA    SELURUH    PIMPINAN APLIKATOR  HADIR  DAN  MENYATAKAN SIKAP          MENGIKUTI          REGULAI PEMERINTAH TERKAIT OJOL";-;-;TERLAYANI
45;15;JAMBI;SENIN 09 SEPTEMBER 2024;"JAM 09.00
S/D SELESAI";KANTOR GUBERNUR JAMBI;"PENGURUS          HARIAN DEWAN          EKSEKUTIF MAHASISWA     (DEMA) UNIVERSITAS         ISLAM NEGERI  STS  JAMBI  DI KANTOR          GUBERNUR JAMBI.  DENGAN  MASA
±100 ORANG";MENUNTUT JANJI GUBERNUR JAMBI;;DITERIMA OLEH : KEPOLISIAN RI DAN SATPOL PP PROVINSI JAMBI;TERLAYANI
46;15;JAMBI;SELASA;JAM;KANTOR;PENGURUS   HARIAN   DEWAN;MENUNTUT JANJI GUBERNUR JAMBI;-;DITERIMA OLEH :;TERLAYANI
47;15;JAMBI;"10
SEPTEMBER 2024";"09. 00
S/D SELESAI";GUBERNUR JAMBI;EKSEKUTIF          MAHASISWA (DEMA)  UNIVERSITAS  ISLAM NEGERI    STS    JAMBI    DI KANTOR   GUBERNUR   JAMBI. DENGAN MASA ±200 ORANG;-;-;ASISTEN JANGCIK MOZA;-
48;15;JAMBI;KAMIS 12 SEPTEMBER 2024;"JAM
09. 00
S/D SELESAI";KANTOR GUBERNUR JAMBI;PENGURUS   HARIAN   DEWAN EKSEKUTIF          MAHASISWA (DEMA)  UNIVERSITAS  ISLAM NEGERI    STS    JAMBI    DI KANTOR GUBERNUR JAMBI.;MENUNTUT JANJI GUBERNUR JAMBI;DEMONSTRASI TIDAK TERLIHAT;-;TERLAYANI
49;15;JAMBI;KAMIS 24 SEPTEMBER 2024;JAM 08. 00 S/D SELESAI;KANTOR GUBERNUR JAMBI        DAN DPRD PROVINSI JAMBI;GERAKAN   SUARA    TUNTUTAN RAKYAT    JAMBI    (GESTUR) DENGAN MASA ±300 ORANG;TOLAK BANK TANAH, TOLAH PROYEK STRATEGIS NASIONAL, CABUT UU KERJA, LAKSANAKAN UNDANG-UNDANG POKOK AGRARIA, DLL;-;DITERIMA OLEH : ARIF MUNANDAR, JOHANSYAH, KADIS BPN, KADIS KESBANGPOL, KADIS PERTANIAN;TERLAYANI
50;15;JAMBI;SELASA 08 OKTOBER 2024;"JAM 09.30
S/D SELESAI";KANTOR GUBERNUR JAMBI;"ALIANSI     LIHAT      INSPIRASI MASYARAKAT      (LIM)      DI KANTOR    GUBERNUR    JAMBI
DENGAN MASA ±8 ORANG";"PANGGIL      DANDIREKTUR      RSUD RADEN MATTAHER JAMBI
PANGGIL   DAN   PERIKASA   KEPALA DINAS KESEHATAN PROVINSI JAMBI.";;DITERIMA OLEH : MUHTAMAR HAMDI/ASISTEN III;TERLAYANI
51;15;JAMBI;JUMAT 18 SEPTEMBER 2024;"JAM
08. 00
S/D SELESAI";KANTOR GUBERNUR JAMBI;"ALIANSI           MAHASISWA
JAMBI        DI        KANTOR JAMBI.     DENGAN     MASA ±200 ORANG
GUBERNUR    JAMBI    DAN KANTOR   DPRD   PROVINSI";-;DEMOSTRASI TIDAK TERLIHAT;-;TERLAYANI
52;15;JAMBI;SELASA 22  OKTOBER 2024;"JAM
12. 00
S/D SELESAI";KANTOR GUBERNUR JAMBI;"BADAN                  EKSEKUTIF
MAHASISWA             SELURUH INDONESIA GUBERNUR JAMBI
SUMBANGSEL DI KANTOR";-;DEMONSTRASI TIDAK TERLIHAT;-;TERLAYANI
53;15;JAMBI;JUMAT 25 OKTOBER 2024;JAM 08.00 S/D SELESAI;KANTOR GUBERBUR JAMBI DAN DPRD PROVINSI JAMBI;ALIANSI MASYARAKAT ANTI KORUPSI JAMBI DI KANTOR GUBERNUR JAMBI DENGAN MASA 300 ORANG;_MENYIKAPI ADANYA DUGAAN KORUPSI INSENTIF, JASA PEMBAYARAN TENAGA KESEHATAN YANG DIDUGA SUDAH 5 BULAN INSENTIFNYA BELUM DIBAYARKAN PIHAK RSUD MATTAHER JAMBI DENGAN KONDISI KEUANGAN MINUS DAN HUTANG RP. 69 MILIAR DARI TAHUN 2023-2024;-;-;TERLAYANI
54;15;JAMBI;RABU 11 DESEMBER 2024;JAM 09.30 S/D SELESAI;KANTOR GUBERNUR JAMBI;FORUM MASYARAKAT, MAHASISWA DAN PEMUDA FORMAS MUDA SUNGAI BUNGUR DI KANTOR GUBERNUR JAMBI DENGAN MASA 300 ORANG;MEMINTA GUBERNUR JAMBI, KANWIL ATR/BPN PROVINSI BESERTA TIMDU PROVINSI JAMBI MELAKUKAN PENETAPAN TERHADAP SEBAGIAN LAHAN SK TOL MASYARAKAT DESA SUNGAI BUNGUR MEMINTA GUBERNUR JAMBI, KANWIL ATR/BPN PROVINSI JAMBI SEGEREA MELAKUKAN PENETAPAN TERHADAP LAHAN SK TOL, MASYARAKAT SUNGAI BUNGUR, PROVINSI JAMBI UNTUK SEGERA MENYELESAIKAN PERSOALAN LAHAN TERSEBUT.;-;DITERIMA OLEH: KEPOLISIAN RI, TNI, SATPOL PP PROVINSI JAMBI;-
