no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;nama_hotel;data
1;15;JAMBI;1508;150803;1508031007;Hotel Amaris;HOTEL BERBINTANG 
2;15;JAMBI;1508;150803;1508031023;Hotel Semag;HOTEL BERBINTANG 
3;15;JAMBI;1508;150803;1508031008;Hotel Bungo Plaza;HOTEL BERBINTANG 
4;15;JAMBI;1571;157102;1508131001;Hotel Bw Luxury Jambi;HOTEL BERBINTANG 
5;15;JAMBI;1571;157110;1571101001;Hotel Ratu ;HOTEL BERBINTANG 
6;15;JAMBI;1571;157104;1571041004;Hotel Abadi Suite Tower;HOTEL BERBINTANG 
7;15;JAMBI;1571;157110;1571101005;Hotel Shang Ratu ;HOTEL BERBINTANG 
8;15;JAMBI;1571;157110;1571101002;Hotel Aston Jambi ;HOTEL BERBINTANG 
9;15;JAMBI;1571;157109;1571091003;PT. Putra Psp Rumah Kito Guest House;HOTEL BERBINTANG 
10;15;JAMBI;1571;157110;1571101005;Swiss-Bel Hotel ;HOTEL BERBINTANG 
11;15;JAMBI;1571;157104;1571041004;Hotel Abadi Grand ;HOTEL BERBINTANG 
12;15;JAMBI;1571;157104;1571041004;Hotel Ceria ;HOTEL BERBINTANG 
13;15;JAMBI;1571;157107;1571071005;Hotel Cahaya Prima;HOTEL BERBINTANG 
14;15;JAMBI;1571;157104;1571041003;Hotel Grand Malioboro;HOTEL BERBINTANG 
15;15;JAMBI;1571;157104;1571041004;Hotel Ratu Permata Hotelindo;HOTEL BERBINTANG 
16;15;JAMBI;1571;157110;1571101005;Hotel Luminor ;HOTEL BERBINTANG 
17;15;JAMBI;1571;157108;1571081004;Hotel Matahari I;HOTEL BERBINTANG 
18;15;JAMBI;1571;157109;1571091001;Hotel Harvest Golden;HOTEL BERBINTANG 
19;15;JAMBI;1571;157104;1571041003;Hotel Wiltop;HOTEL BERBINTANG 
20;15;JAMBI;1571;157102;1508131001;Hotel Cosmo;HOTEL BERBINTANG 
21;15;JAMBI;1571;157101;1571011001;Hotel Grand;HOTEL BERBINTANG 
22;15;JAMBI;1571;157107;1571071005;Hotel Royal Garden ;HOTEL BERBINTANG 
23;15;JAMBI;1571;157104;1571041003;Hotel Duta ;HOTEL BERBINTANG 
24;15;JAMBI;1571;157104;1571041003;Hotel Infinity ;HOTEL BERBINTANG 
25;15;JAMBI;1571;157104;1571041004;Hotel Pundi Rezeki;HOTEL BERBINTANG 
26;15;JAMBI;1571;157110;1571101004;Hotel Marisa;HOTEL BERBINTANG 
27;15;JAMBI;1571;157102;1571021003;Hotel Safera ;HOTEL BERBINTANG 
28;15;JAMBI;1571;157108;1503092004;Hotel Harisman Sentosa ;HOTEL BERBINTANG 
29;15;JAMBI;1571;157104;1571041004;Hotel Jambi Raya ;HOTEL BERBINTANG 
30;15;JAMBI;1571;157102;1571021003;Hotel Pundi Rezeki Thehok ;HOTEL BERBINTANG 
31;15;JAMBI;1571;157104;1571041001;Octopuss Hotel Dan Spa ;HOTEL BERBINTANG 
32;15;JAMBI;1571;157111;1571111005;Hotel Mj's;HOTEL BERBINTANG 
33;15;JAMBI;1571;157109;1571091001;V Hotel ;HOTEL BERBINTANG 
34;15;JAMBI;1508;150803;1508031007;Hotel Amaris;HOTEL BERBINTANG 
35;15;JAMBI;1508;150803;1508031023;Hotel Semag;HOTEL BERBINTANG 
36;15;JAMBI;1508;150803;1508031008;Hotel Bungo Plaza;HOTEL BERBINTANG 
37;15;JAMBI;1571;157102;1508131001;Hotel Bw Luxury Jambi;HOTEL BERBINTANG 
38;15;JAMBI;1571;157110;1571101001;Hotel Ratu ;HOTEL BERBINTANG 
