id;kode_provinsi;nama_provinsi;intansi_pemerintahan;laki-laki;perempuan;jumlah
1;15;JAMBI;Sekretaris Daerah;1;0;1
2;15;JAMBI;Asisten dan Staf Ahli;6;0;6
3;15;JAMBI;Biro Pemerintahan Dan Otonomi Daerah;14;11;25
4;15;JAMBI;Biro Hukum;14;16;30
;15;JAMBI;Badan Kepegawaian Daerah;40;43;83
;15;JAMBI;Biro Perekonomian;12;17;29
;15;JAMBI;Biro Kesejahteraan Rakyat dan Kemasyarakatan;26;24;50
;15;JAMBI;Biro Organisasi;19;11;30
;15;JAMBI;Biro Administrasi Pembangunan;21;19;40
;15;JAMBI;Biro Pengelolaan Barang Jasa;27;18;45
;15;JAMBI;Biro Administrasi Pimpinan / Humas & Protokol;31;18;49
;15;JAMBI;Sekretariat DPRD;39;24;63
;15;JAMBI;Badan Pengelola Keuangan dan Pendapatatn Daerah;205;109;314
;15;JAMBI;Dinas Perkebunan;46;43;89
;15;JAMBI;Dinas Tenaga Kerja, dan Transmigrasi;88;36;124
;15;JAMBI;Dinas Kehutanan;247;70;317
;15;JAMBI;Dinas Tanaman Pangan, Holtikultura dan Peternakan;141;109;250
;15;JAMBI;Dinas Perindustrian dan Perdagangan ;42;54;96
;15;JAMBI;Dinas Energi dan Sumber Daya Mineral;40;28;68
;15;JAMBI;Dinas Kebudayaan dan Pariwisata;49;54;103
;15;JAMBI;Dinas Kelautan dan Perikanan;89;62;151
;15;JAMBI;Dinas Pekerjaan Umum dan Perumahan Rakyat;155;93;248
;15;JAMBI;Dinas Kesehatan;89;191;280
;15;JAMBI;Dinas Pendidikan;2109;2959;5068
;15;JAMBI;Dinas Perhubungan;47;14;61
;15;JAMBI;Dinas Sosial, Kependudukan dan Catatan Sipil;73;58;131
;15;JAMBI;Dinas Koperasi, Usaha Kecil dan Menengah;30;29;59
;15;JAMBI;Dinas Kepemudaan dan Olahraga;55;31;86
;15;JAMBI;Inspektorat Daerah;52;49;101
;15;JAMBI;Dinas Penanaman Modal Dan PTSP;33;34;67
;15;JAMBI;Badan Perencanaan dan Pembangunan Daerah ;41;49;90
;15;JAMBI;Dinas Lingkungan Hidup Daerah;42;59;101
;15;JAMBI;Biro Umum;72;32;104
;15;JAMBI;Badan Kesatuan Bangsa dan Politik;31;21;52
;15;JAMBI;Badan Pengembangan Sumber Daya Manusia;50;42;92
;15;JAMBI;Badan Penelitian dan Pengembangan Daerah;21;24;45
;15;JAMBI;Dinas Perpustakaan Dan Arsip Daerah;39;45;84
;15;JAMBI;Rumah Sakit Jiwa Daerah;83;174;257
;15;JAMBI;Rumah sakit Umum Daerah Raden Mattaher Jambi;201;645;846
;15;JAMBI;Satuan Polisi Pamong Paraja dan Pemadam Kebakaran;164;12;176
;15;JAMBI;Dinas Komunikasi dan Informatika;41;23;64
;15;JAMBI;Badan Penghubung Daerah Jambi;23;25;48
;15;JAMBI;Dinas P3A dan Pengendalian Penduduk;20;47;67
;15;JAMBI;Badan Penanggulangan Bencana Daerah;16;8;24
;15;JAMBI;Dinas Ketahanan Pangan;26;36;62
